source_dataset,passenger_id,pclass,survived,name,sex,age,family_size,fare,embarked,survived_label
Dataset 1,555,2,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54.0,4.0,23.0,S,Survived
Dataset 1,556,2,0,"Hodges, Mr. Henry Price",male,50.0,0.0,13.0,S,Did Not Survive
Dataset 1,557,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,1.0,77.9583,S,Survived
Dataset 1,558,2,0,"Hold, Mr. Stephen",male,44.0,1.0,26.0,S,Did Not Survive
Dataset 1,559,2,1,"Hold, Mrs. Stephen (Annie Margaret Hill)",female,29.0,1.0,26.0,S,Survived
Dataset 1,560,3,0,"Holm, Mr. John Fredrik Alexander",male,43.0,0.0,6.45,S,Did Not Survive
Dataset 1,561,3,0,"Holthen, Mr. Johan Martin",male,28.0,0.0,22.525,S,Did Not Survive
Dataset 1,562,1,0,"Holverson, Mr. Alexander Oskar",male,42.0,1.0,52.0,S,Did Not Survive
Dataset 1,563,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1.0,52.0,S,Survived
Dataset 1,564,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0.0,26.55,C,Survived
Dataset 1,565,3,1,"Honkanen, Miss. Eliina",female,27.0,0.0,7.925,S,Survived
Dataset 1,566,2,0,"Hood, Mr. Ambrose Jr",male,21.0,0.0,73.5,S,Did Not Survive
Dataset 1,567,3,0,"Horgan, Mr. John",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,568,2,1,"Hosono, Mr. Masabumi",male,42.0,0.0,13.0,S,Survived
Dataset 1,569,3,1,"Howard, Miss. May Elizabeth",female,,0.0,8.05,S,Survived
Dataset 1,570,2,0,"Howard, Mr. Benjamin",male,63.0,1.0,26.0,S,Did Not Survive
Dataset 1,571,2,0,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,60.0,1.0,26.0,S,Did Not Survive
Dataset 1,572,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1.0,90.0,S,Survived
Dataset 1,573,1,0,"Hoyt, Mr. William Fisher",male,,0.0,30.6958,C,Did Not Survive
Dataset 1,574,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1.0,90.0,S,Survived
Dataset 1,575,3,0,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,0.0,7.65,S,Did Not Survive
Dataset 1,576,2,0,"Hunt, Mr. George Henry",male,33.0,0.0,12.275,S,Did Not Survive
Dataset 1,577,3,1,"Hyman, Mr. Abraham",male,,0.0,7.8875,S,Survived
Dataset 1,578,3,0,"Ibrahim Shawah, Mr. Yousseff",male,30.0,0.0,7.2292,C,Did Not Survive
Dataset 1,579,1,1,"Icard, Miss. Amelie",female,38.0,,80.0,,Survived
Dataset 1,580,2,1,"Ilett, Miss. Bertha",female,17.0,0.0,10.5,S,Survived
Dataset 1,581,3,0,"Ilieff, Mr. Ylio",male,,0.0,7.8958,S,Did Not Survive
Dataset 1,582,3,0,"Ilmakangas, Miss. Ida Livija",female,27.0,1.0,7.925,S,Did Not Survive
Dataset 1,583,3,0,"Ilmakangas, Miss. Pieta Sofia",female,25.0,1.0,7.925,S,Did Not Survive
Dataset 1,584,1,0,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,28.7125,C,Did Not Survive
Dataset 1,585,1,1,"Ismay, Mr. Joseph Bruce",male,49.0,0.0,0.0,S,Survived
Dataset 1,586,3,0,"Ivanoff, Mr. Kanio",male,,0.0,7.8958,S,Did Not Survive
Dataset 1,587,2,0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1.0,27.0,S,Did Not Survive
Dataset 1,588,2,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,3.0,27.0,S,Survived
Dataset 1,589,3,1,"Jalsevac, Mr. Ivan",male,29.0,0.0,7.8958,C,Survived
Dataset 1,590,3,1,"Jansson, Mr. Carl Olof",male,21.0,0.0,7.7958,S,Survived
Dataset 1,591,3,0,"Jardin, Mr. Jose Neto",male,,0.0,7.05,S,Did Not Survive
Dataset 1,592,2,0,"Jarvis, Mr. John Denzil",male,47.0,0.0,15.0,S,Did Not Survive
Dataset 1,593,2,0,"Jefferys, Mr. Clifford Thomas",male,24.0,2.0,31.5,S,Did Not Survive
Dataset 1,594,2,0,"Jefferys, Mr. Ernest Wilfred",male,22.0,2.0,31.5,S,Did Not Survive
Dataset 1,595,2,0,"Jenkin, Mr. Stephen Curnow",male,32.0,0.0,10.5,S,Did Not Survive
Dataset 1,596,3,0,"Jensen, Mr. Hans Peder",male,20.0,0.0,7.8542,S,Did Not Survive
Dataset 1,597,3,0,"Jensen, Mr. Niels Peder",male,48.0,0.0,7.8542,S,Did Not Survive
Dataset 1,598,3,0,"Jensen, Mr. Svend Lauritz",male,17.0,1.0,7.0542,S,Did Not Survive
Dataset 1,599,3,1,"Jermyn, Miss. Annie",female,,0.0,7.75,Q,Survived
Dataset 1,600,2,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0.0,13.7917,C,Survived
Dataset 1,601,3,1,"Johannesen-Bratthammer, Mr. Bernt",male,,0.0,8.1125,S,Survived
Dataset 1,602,3,0,"Johanson, Mr. Jakob Alfred",male,34.0,0.0,6.4958,S,Did Not Survive
Dataset 1,603,3,1,"Johansson Palmquist, Mr. Oskar Leander",male,26.0,0.0,7.775,S,Survived
Dataset 1,604,3,0,"Johansson, Mr. Erik",male,22.0,0.0,7.7958,S,Did Not Survive
Dataset 1,605,3,0,"Johansson, Mr. Gustaf Joel",male,33.0,0.0,8.6542,S,Did Not Survive
Dataset 1,606,3,0,"Johansson, Mr. Karl Johan",male,31.0,0.0,7.775,S,Did Not Survive
Dataset 1,607,3,0,"Johansson, Mr. Nils",male,29.0,0.0,7.8542,S,Did Not Survive
Dataset 1,608,3,1,"Johnson, Master. Harold Theodor",male,4.0,2.0,11.1333,S,Survived
Dataset 1,609,3,1,"Johnson, Miss. Eleanor Ileen",female,1.0,2.0,11.1333,S,Survived
Dataset 1,610,3,0,"Johnson, Mr. Alfred",male,49.0,0.0,0.0,S,Did Not Survive
Dataset 1,611,3,0,"Johnson, Mr. Malkolm Joackim",male,33.0,0.0,7.775,S,Did Not Survive
Dataset 1,612,3,0,"Johnson, Mr. William Cahoone Jr",male,19.0,0.0,0.0,S,Did Not Survive
Dataset 1,613,3,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,2.0,11.1333,S,Survived
Dataset 1,614,3,0,"Johnston, Master. William Arthur ""Willie""",male,,3.0,23.45,S,Did Not Survive
Dataset 1,615,3,0,"Johnston, Miss. Catherine Helen ""Carrie""",female,,3.0,23.45,S,Did Not Survive
Dataset 1,616,3,0,"Johnston, Mr. Andrew G",male,,3.0,23.45,S,Did Not Survive
Dataset 1,617,3,0,"Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)",female,,3.0,23.45,S,Did Not Survive
Dataset 1,618,1,0,"Jones, Mr. Charles Cresson",male,46.0,0.0,26.0,S,Did Not Survive
Dataset 1,619,3,0,"Jonkoff, Mr. Lalio",male,23.0,0.0,7.8958,S,Did Not Survive
Dataset 1,620,3,1,"Jonsson, Mr. Carl",male,32.0,0.0,7.8542,S,Survived
Dataset 1,621,3,0,"Jonsson, Mr. Nils Hilding",male,27.0,0.0,7.8542,S,Did Not Survive
Dataset 1,622,1,0,"Julian, Mr. Henry Forbes",male,50.0,0.0,26.0,S,Did Not Survive
Dataset 1,623,3,0,"Jussila, Miss. Katriina",female,20.0,1.0,9.825,S,Did Not Survive
Dataset 1,624,3,0,"Jussila, Miss. Mari Aina",female,21.0,1.0,9.825,S,Did Not Survive
Dataset 1,625,3,1,"Jussila, Mr. Eiriik",male,32.0,0.0,7.925,S,Survived
Dataset 1,626,3,0,"Kallio, Mr. Nikolai Erland",male,17.0,0.0,7.125,S,Did Not Survive
Dataset 1,627,3,0,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0.0,8.4333,S,Did Not Survive
Dataset 1,628,2,0,"Kantor, Mr. Sinai",male,34.0,1.0,26.0,S,Did Not Survive
Dataset 1,629,2,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1.0,26.0,S,Survived
Dataset 1,630,3,0,"Karaic, Mr. Milan",male,30.0,0.0,7.8958,S,Did Not Survive
Dataset 1,631,3,1,"Karlsson, Mr. Einar Gervasius",male,21.0,0.0,7.7958,S,Survived
Dataset 1,632,3,0,"Karlsson, Mr. Julius Konrad Eugen",male,33.0,0.0,7.8542,S,Did Not Survive
Dataset 1,633,3,0,"Karlsson, Mr. Nils August",male,22.0,0.0,7.5208,S,Did Not Survive
Dataset 1,634,2,0,"Karnes, Mrs. J Frank (Claire Bennett)",female,22.0,0.0,21.0,S,Did Not Survive
Dataset 1,635,3,1,"Karun, Miss. Manca",female,4.0,1.0,13.4167,C,Survived
Dataset 1,636,3,1,"Karun, Mr. Franz",male,39.0,1.0,13.4167,C,Survived
Dataset 1,637,3,0,"Kassem, Mr. Fared",male,,0.0,7.2292,C,Did Not Survive
Dataset 1,638,3,0,"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",male,18.5,0.0,7.2292,C,Did Not Survive
Dataset 1,639,2,1,"Keane, Miss. Nora A",female,,0.0,12.35,Q,Survived
Dataset 1,640,3,0,"Keane, Mr. Andrew ""Andy""",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,641,2,0,"Keane, Mr. Daniel",male,35.0,0.0,12.35,Q,Did Not Survive
Dataset 1,642,3,0,"Keefe, Mr. Arthur",male,,0.0,7.25,S,Did Not Survive
Dataset 1,643,1,0,"Keeping, Mr. Edwin",male,32.5,0.0,211.5,C,Did Not Survive
Dataset 1,644,3,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0.0,7.75,Q,Survived
Dataset 1,645,3,1,"Kelly, Miss. Mary",female,,0.0,7.75,Q,Survived
Dataset 1,646,3,0,"Kelly, Mr. James",male,34.5,0.0,7.8292,Q,Did Not Survive
Dataset 1,647,3,0,"Kelly, Mr. James",male,44.0,0.0,8.05,S,Did Not Survive
Dataset 1,648,2,1,"Kelly, Mrs. Florence ""Fannie""",female,45.0,0.0,13.5,S,Survived
Dataset 1,649,3,1,"Kennedy, Mr. John",male,,0.0,7.75,Q,Survived
Dataset 1,650,1,0,"Kent, Mr. Edward Austin",male,58.0,0.0,29.7,C,Did Not Survive
Dataset 1,651,1,0,"Kenyon, Mr. Frederick R",male,41.0,1.0,51.8625,S,Did Not Survive
Dataset 1,652,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1.0,51.8625,S,Survived
Dataset 1,653,3,0,"Khalil, Mr. Betros",male,,1.0,14.4542,C,Did Not Survive
Dataset 1,654,3,0,"Khalil, Mrs. Betros (Zahie ""Maria"" Elias)",female,,1.0,14.4542,C,Did Not Survive
Dataset 1,655,3,0,"Kiernan, Mr. John",male,,1.0,7.75,Q,Did Not Survive
Dataset 1,656,3,0,"Kiernan, Mr. Philip",male,,1.0,7.75,Q,Did Not Survive
Dataset 1,657,3,0,"Kilgannon, Mr. Thomas J",male,,0.0,7.7375,Q,Did Not Survive
Dataset 1,658,1,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1.0,52.5542,S,Survived
Dataset 1,659,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,1.0,52.5542,S,Survived
Dataset 1,660,3,0,"Kink, Miss. Maria",female,22.0,2.0,8.6625,S,Did Not Survive
Dataset 1,661,3,0,"Kink, Mr. Vincenz",male,26.0,2.0,8.6625,S,Did Not Survive
Dataset 1,662,3,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,2.0,22.025,S,Survived
Dataset 1,663,3,1,"Kink-Heilmann, Mr. Anton",male,29.0,4.0,22.025,S,Survived
Dataset 1,664,3,1,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,2.0,22.025,S,Survived
Dataset 1,665,2,0,"Kirkland, Rev. Charles Leonard",male,57.0,0.0,12.35,Q,Did Not Survive
Dataset 1,666,1,0,"Klaber, Mr. Herman",male,,0.0,26.55,S,Did Not Survive
Dataset 1,667,3,0,"Klasen, Miss. Gertrud Emilia",female,1.0,2.0,12.1833,S,Did Not Survive
Dataset 1,668,3,0,"Klasen, Mr. Klas Albin",male,18.0,2.0,7.8542,S,Did Not Survive
Dataset 1,669,3,0,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36.0,2.0,12.1833,S,Did Not Survive
Dataset 1,670,2,0,"Knight, Mr. Robert J",male,,0.0,0.0,S,Did Not Survive
Dataset 1,671,3,0,"Kraeff, Mr. Theodor",male,,0.0,7.8958,C,Did Not Survive
Dataset 1,672,3,1,"Krekorian, Mr. Neshan",male,25.0,0.0,7.2292,C,Survived
Dataset 1,673,1,1,"Kreuchen, Miss. Emilie",female,39.0,0.0,211.3375,S,Survived
Dataset 1,674,2,0,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0.0,10.5,S,Did Not Survive
Dataset 1,675,3,0,"Lahoud, Mr. Sarkis",male,,0.0,7.225,C,Did Not Survive
Dataset 1,676,2,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,2.0,26.0,S,Did Not Survive
Dataset 1,677,2,0,"Lahtinen, Rev. William",male,30.0,2.0,26.0,S,Did Not Survive
Dataset 1,678,3,0,"Laitinen, Miss. Kristina Sofia",female,37.0,0.0,9.5875,S,Did Not Survive
Dataset 1,679,3,0,"Laleff, Mr. Kristo",male,,0.0,7.8958,S,Did Not Survive
Dataset 1,680,3,1,"Lam, Mr. Ali",male,,0.0,56.4958,S,Survived
Dataset 1,681,3,0,"Lam, Mr. Len",male,,0.0,56.4958,S,Did Not Survive
Dataset 1,682,2,0,"Lamb, Mr. John Joseph",male,,0.0,10.7083,Q,Did Not Survive
Dataset 1,683,3,1,"Landergren, Miss. Aurora Adelia",female,22.0,0.0,7.25,S,Survived
Dataset 1,684,3,0,"Lane, Mr. Patrick",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,685,3,1,"Lang, Mr. Fang",male,26.0,0.0,56.4958,S,Survived
Dataset 1,686,2,1,"Laroche, Miss. Louise",female,1.0,3.0,41.5792,C,Survived
Dataset 1,687,2,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,3.0,41.5792,C,Survived
Dataset 1,688,2,0,"Laroche, Mr. Joseph Philippe Lemercier",male,25.0,3.0,41.5792,C,Did Not Survive
Dataset 1,689,2,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22.0,3.0,41.5792,C,Survived
Dataset 1,690,3,0,"Larsson, Mr. August Viktor",male,29.0,0.0,9.4833,S,Did Not Survive
Dataset 1,691,3,0,"Larsson, Mr. Bengt Edvin",male,29.0,0.0,7.775,S,Did Not Survive
Dataset 1,692,3,0,"Larsson-Rondberg, Mr. Edvard A",male,22.0,0.0,7.775,S,Did Not Survive
Dataset 1,693,1,1,"Leader, Dr. Alice (Farnham)",female,49.0,0.0,25.9292,S,Survived
Dataset 1,694,3,1,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0.0,7.225,C,Survived
Dataset 1,695,3,0,"Lefebre, Master. Henry Forbes",male,,4.0,25.4667,S,Did Not Survive
Dataset 1,696,3,0,"Lefebre, Miss. Ida",female,,4.0,25.4667,S,Did Not Survive
Dataset 1,697,3,0,"Lefebre, Miss. Jeannie",female,,4.0,25.4667,S,Did Not Survive
Dataset 1,698,3,0,"Lefebre, Miss. Mathilde",female,,4.0,25.4667,S,Did Not Survive
Dataset 1,699,3,0,"Lefebre, Mrs. Frank (Frances)",female,,4.0,25.4667,S,Did Not Survive
Dataset 1,700,2,1,"Lehmann, Miss. Bertha",female,17.0,0.0,12.0,C,Survived
Dataset 1,701,3,0,"Leinonen, Mr. Antti Gustaf",male,32.0,0.0,7.925,S,Did Not Survive
Dataset 1,702,2,1,"Leitch, Miss. Jessie Wills",female,,0.0,33.0,S,Survived
Dataset 1,703,3,0,"Lemberopolous, Mr. Peter L",male,34.5,0.0,6.4375,C,Did Not Survive
Dataset 1,704,2,1,"Lemore, Mrs. (Amelia Milley)",female,34.0,0.0,10.5,S,Survived
Dataset 1,705,3,0,"Lennon, Miss. Mary",female,,1.0,15.5,Q,Did Not Survive
Dataset 1,706,3,0,"Lennon, Mr. Denis",male,,1.0,15.5,Q,Did Not Survive
Dataset 1,707,3,0,"Leonard, Mr. Lionel",male,36.0,0.0,0.0,S,Did Not Survive
Dataset 1,708,1,1,"LeRoy, Miss. Bertha",female,30.0,0.0,106.425,C,Survived
Dataset 1,709,3,0,"Lester, Mr. James",male,39.0,0.0,24.15,S,Did Not Survive
Dataset 1,710,1,1,"Lesurer, Mr. Gustave J",male,35.0,0.0,512.3292,C,Survived
Dataset 1,711,2,0,"Levy, Mr. Rene Jacques",male,36.0,0.0,12.875,C,Did Not Survive
Dataset 1,712,1,0,"Lewy, Mr. Ervin G",male,,0.0,27.7208,C,Did Not Survive
Dataset 1,713,2,0,"Leyson, Mr. Robert William Norman",male,24.0,0.0,10.5,S,Did Not Survive
Dataset 1,714,3,0,"Lievens, Mr. Rene Aime",male,24.0,0.0,9.5,S,Did Not Survive
Dataset 1,715,3,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0.0,7.775,S,Did Not Survive
Dataset 1,716,3,0,"Lindblom, Miss. Augusta Charlotta",female,45.0,0.0,7.75,S,Did Not Survive
Dataset 1,717,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42.0,0.0,26.55,S,Did Not Survive
Dataset 1,718,3,0,"Lindell, Mr. Edvard Bengtsson",male,36.0,1.0,15.55,S,Did Not Survive
Dataset 1,719,3,0,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,1.0,15.55,S,Did Not Survive
Dataset 1,720,3,1,"Lindqvist, Mr. Eino William",male,20.0,1.0,7.925,S,Survived
Dataset 1,721,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0.0,27.7208,C,Survived
Dataset 1,722,3,0,"Linehan, Mr. Michael",male,,0.0,7.8792,Q,Did Not Survive
Dataset 1,723,1,1,"Lines, Miss. Mary Conover",female,16.0,1.0,39.4,S,Survived
Dataset 1,724,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,1.0,39.4,S,Survived
Dataset 1,725,3,0,"Ling, Mr. Lee",male,28.0,0.0,56.4958,S,Did Not Survive
Dataset 1,726,2,0,"Lingane, Mr. John",male,61.0,0.0,12.35,Q,Did Not Survive
Dataset 1,727,3,0,"Lithman, Mr. Simon",male,,0.0,7.55,S,Did Not Survive
Dataset 1,728,3,0,"Lobb, Mr. William Arthur",male,30.0,1.0,16.1,S,Did Not Survive
Dataset 1,729,3,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1.0,16.1,S,Did Not Survive
Dataset 1,730,3,0,"Lockyer, Mr. Edward",male,,0.0,7.8792,S,Did Not Survive
Dataset 1,731,1,0,"Long, Mr. Milton Clyde",male,29.0,0.0,30.0,S,Did Not Survive
Dataset 1,732,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0.0,77.9583,S,Survived
Dataset 1,733,1,0,"Loring, Mr. Joseph Holland",male,30.0,0.0,45.5,S,Did Not Survive
Dataset 1,734,2,0,"Louch, Mr. Charles Alexander",male,50.0,1.0,26.0,S,Did Not Survive
Dataset 1,735,2,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1.0,26.0,S,Survived
Dataset 1,736,3,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0.0,7.25,S,Did Not Survive
Dataset 1,737,3,1,"Lulic, Mr. Nikola",male,27.0,0.0,8.6625,S,Survived
Dataset 1,738,3,0,"Lundahl, Mr. Johan Svensson",male,51.0,0.0,7.0542,S,Did Not Survive
Dataset 1,739,3,1,"Lundin, Miss. Olga Elida",female,23.0,0.0,7.8542,S,Survived
Dataset 1,740,3,1,"Lundstrom, Mr. Thure Edvin",male,32.0,0.0,7.5792,S,Survived
Dataset 1,741,1,1,"Lurette, Miss. Elise",female,58.0,0.0,146.5208,C,Survived
Dataset 1,742,3,0,"Lyntakoff, Mr. Stanko",male,,0.0,7.8958,S,Did Not Survive
Dataset 1,743,2,0,"Mack, Mrs. (Mary)",female,57.0,0.0,10.5,S,Did Not Survive
Dataset 1,744,3,0,"MacKay, Mr. George William",male,,0.0,7.55,S,Did Not Survive
Dataset 1,745,3,1,"Madigan, Miss. Margaret ""Maggie""",female,,0.0,7.75,Q,Survived
Dataset 1,746,1,1,"Madill, Miss. Georgette Alexandra",female,15.0,1.0,211.3375,S,Survived
Dataset 1,747,3,1,"Madsen, Mr. Fridtjof Arne",male,24.0,0.0,7.1417,S,Survived
Dataset 1,748,3,0,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0.0,7.125,S,Did Not Survive
Dataset 1,749,1,0,"Maguire, Mr. John Edward",male,30.0,0.0,26.0,S,Did Not Survive
Dataset 1,750,3,0,"Mahon, Miss. Bridget Delia",female,,0.0,7.8792,Q,Did Not Survive
Dataset 1,751,3,0,"Mahon, Mr. John",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,752,1,1,"Maioni, Miss. Roberta",female,16.0,0.0,86.5,S,Survived
Dataset 1,753,3,0,"Maisner, Mr. Simon",male,,0.0,8.05,S,Did Not Survive
Dataset 1,754,3,0,"Makinen, Mr. Kalle Edvard",male,29.0,0.0,7.925,S,Did Not Survive
Dataset 1,755,2,0,"Malachard, Mr. Noel",male,,0.0,15.0458,C,Did Not Survive
Dataset 1,756,2,1,"Mallet, Master. Andre",male,1.0,2.0,37.0042,C,Survived
Dataset 1,757,2,0,"Mallet, Mr. Albert",male,31.0,2.0,37.0042,C,Did Not Survive
Dataset 1,758,2,1,"Mallet, Mrs. Albert (Antoinette Magnin)",female,24.0,2.0,37.0042,C,Survived
Dataset 1,759,3,1,"Mamee, Mr. Hanna",male,,0.0,7.2292,C,Survived
Dataset 1,760,3,0,"Mangan, Miss. Mary",female,30.5,0.0,7.75,Q,Did Not Survive
Dataset 1,761,2,0,"Mangiavacchi, Mr. Serafino Emilio",male,,0.0,15.5792,C,Did Not Survive
Dataset 1,762,3,1,"Mannion, Miss. Margareth",female,,0.0,7.7375,Q,Survived
Dataset 1,763,3,0,"Mardirosian, Mr. Sarkis",male,,0.0,7.2292,C,Did Not Survive
Dataset 1,764,1,1,"Marechal, Mr. Pierre",male,,0.0,29.7,C,Survived
Dataset 1,765,3,0,"Markoff, Mr. Marin",male,35.0,0.0,7.8958,C,Did Not Survive
Dataset 1,766,3,0,"Markun, Mr. Johann",male,33.0,0.0,7.8958,S,Did Not Survive
Dataset 1,767,1,0,"Marvin, Mr. Daniel Warner",male,19.0,1.0,53.1,S,Did Not Survive
Dataset 1,768,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,1.0,53.1,S,Survived
Dataset 1,769,3,1,"Masselmani, Mrs. Fatima",female,,0.0,7.225,C,Survived
Dataset 1,770,3,0,"Matinoff, Mr. Nicola",male,,0.0,7.8958,C,Did Not Survive
Dataset 1,771,2,0,"Matthews, Mr. William John",male,30.0,0.0,13.0,S,Did Not Survive
Dataset 1,772,2,0,"Maybery, Mr. Frank Hubert",male,40.0,0.0,16.0,S,Did Not Survive
Dataset 1,773,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,0.0,49.5042,C,Survived
Dataset 1,774,1,0,"McCaffry, Mr. Thomas Francis",male,46.0,0.0,75.2417,C,Did Not Survive
Dataset 1,775,3,1,"McCarthy, Miss. Catherine ""Katie""",female,,0.0,7.75,Q,Survived
Dataset 1,776,1,0,"McCarthy, Mr. Timothy J",male,54.0,0.0,51.8625,S,Did Not Survive
Dataset 1,777,3,1,"McCormack, Mr. Thomas Joseph",male,,0.0,7.75,Q,Survived
Dataset 1,778,3,1,"McCoy, Miss. Agnes",female,,2.0,23.25,Q,Survived
Dataset 1,779,3,1,"McCoy, Miss. Alicia",female,,2.0,23.25,Q,Survived
Dataset 1,780,3,1,"McCoy, Mr. Bernard",male,,2.0,23.25,Q,Survived
Dataset 1,781,2,0,"McCrae, Mr. Arthur Gordon",male,32.0,0.0,13.5,S,Did Not Survive
Dataset 1,782,2,0,"McCrie, Mr. James Matthew",male,30.0,0.0,13.0,S,Did Not Survive
Dataset 1,783,3,1,"McDermott, Miss. Brigdet Delia",female,,0.0,7.7875,Q,Survived
Dataset 1,784,3,0,"McEvoy, Mr. Michael",male,,0.0,15.5,Q,Did Not Survive
Dataset 1,785,1,1,"McGough, Mr. James Robert",male,36.0,0.0,26.2875,S,Survived
Dataset 1,786,3,1,"McGovern, Miss. Mary",female,,0.0,7.8792,Q,Survived
Dataset 1,787,3,1,"McGowan, Miss. Anna ""Annie""",female,15.0,0.0,8.0292,Q,Survived
Dataset 1,788,3,0,"McGowan, Miss. Katherine",female,35.0,0.0,7.75,Q,Did Not Survive
Dataset 1,789,2,0,"McKane, Mr. Peter David",male,46.0,0.0,26.0,S,Did Not Survive
Dataset 1,790,3,0,"McMahon, Mr. Martin",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,791,3,0,"McNamee, Mr. Neal",male,24.0,1.0,16.1,S,Did Not Survive
Dataset 1,792,3,0,"McNamee, Mrs. Neal (Eileen O'Leary)",female,19.0,1.0,16.1,S,Did Not Survive
Dataset 1,793,3,0,"McNeill, Miss. Bridget",female,,0.0,7.75,Q,Did Not Survive
Dataset 1,794,3,0,"Meanwell, Miss. (Marion Ogden)",female,,0.0,8.05,S,Did Not Survive
Dataset 1,795,3,0,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0.0,8.05,S,Did Not Survive
Dataset 1,796,2,1,"Mellinger, Miss. Madeleine Violet",female,13.0,1.0,19.5,S,Survived
Dataset 1,797,2,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,1.0,19.5,S,Survived
Dataset 1,798,2,1,"Mellors, Mr. William John",male,19.0,0.0,10.5,S,Survived
Dataset 1,799,3,0,"Meo, Mr. Alfonzo",male,55.5,0.0,8.05,S,Did Not Survive
Dataset 1,800,3,0,"Mernagh, Mr. Robert",male,,0.0,7.75,Q,Did Not Survive
Dataset 1,801,2,0,"Meyer, Mr. August",male,39.0,0.0,13.0,S,Did Not Survive
Dataset 1,802,1,0,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,82.1708,C,Did Not Survive
Dataset 1,803,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1.0,82.1708,C,Survived
Dataset 1,804,3,1,"Midtsjo, Mr. Karl Albert",male,21.0,0.0,7.775,S,Survived
Dataset 1,805,3,0,"Miles, Mr. Frank",male,,0.0,8.05,S,Did Not Survive
Dataset 1,806,1,0,"Millet, Mr. Francis Davis",male,65.0,0.0,26.55,S,Did Not Survive
Dataset 1,807,2,0,"Milling, Mr. Jacob Christian",male,48.0,0.0,13.0,S,Did Not Survive
Dataset 1,808,1,0,"Minahan, Dr. William Edward",male,44.0,2.0,90.0,Q,Did Not Survive
Dataset 1,809,1,1,"Minahan, Miss. Daisy E",female,33.0,1.0,90.0,Q,Survived
Dataset 1,810,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1.0,90.0,Q,Survived
Dataset 1,811,3,0,"Mineff, Mr. Ivan",male,24.0,0.0,7.8958,S,Did Not Survive
Dataset 1,812,3,0,"Minkoff, Mr. Lazar",male,21.0,0.0,7.8958,S,Did Not Survive
